genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_encoded,song_length,genre_encoded
Electronic,The Prodigy,Voodoo People,5sSOPbf79ES5wQGCRyVELb,32,0.00127,0.663,387067,0.998,0.462,6,0.287,-5.856,0,0.0639,149.001,4.0,0.355,12851,596.004,10
Comedy,Andrew Dice Clay,Apartment Life - Live at Rascals Comedy Club (NJ) / 1990,74gVbDv2zC53w2JPPhkYzm,10,0.703,0.433,49933,0.855,3.37e-06,9,0.727,-12.618,1,0.517,130.629,3.0,0.403,635,391.88699999999994,7
Folk,Peter Bradley Adams,My Arms Were Always Around You,02a2RQEICEzbdPPYh0aLnJ,68,0.724,0.643,200800,0.436,0.459,1,0.11,-12.245,1,0.0273,91.485,4.0,0.422,9893,365.94,11
Ska,Descendents,I Wanna Be A Bear,11sKTctJYOnVdeZCY3SoFA,38,0.00746,0.444,42493,0.826,0.0,6,0.097,-8.765,1,0.0406,94.943,4.0,0.963,3286,379.772,23
Alternative,Slipknot,Dead Memories,0HAr4QR1xI8nwC7VfzYidu,62,0.000443,0.547,268587,0.963,0.0251,4,0.353,-2.337,0,0.0744,130.061,4.0,0.441,11452,520.244,1
Reggaeton,Alexis y Fido,Gata Michu Michu,0LloLLsOY6444V1dek1YV7,29,0.284,0.837,191000,0.783,0.0,5,0.255,-6.004,1,0.12,93.999,4.0,0.778,434,375.996,21
Dance,Pretty Ricky,Juicy (feat. Static Major),2UW9flihkcHuCwWaUOmC1d,51,0.0661,0.815,287933,0.451,0.0,10,0.0782,-6.486,1,0.0458,120.042,4.0,0.392,10103,480.168,9
Opera,Georges Bizet,"Carmen, Act II: Entr'acte",0GdlxQfI3ssi3OV3FMuHah,16,0.911,0.142,156960,0.0188,0.961,3,0.0569,-29.792,1,0.0403,140.862,4.0,0.0395,4645,563.448,16
Reggaeton,Caramelos De Cianuro,El Instante - Live From Paris,4UaWDUWowlFq7nSToWE4xP,35,0.00508,0.674,264769,0.449,0.00102,0,0.72,-11.544,1,0.0328,106.008,4.0,0.481,2109,424.032,21
Classical,Jean-Baptiste Lully,"Phaeton, Prologue - Le retour de l'Âge d'or: Ouverture",3zcCQoPjV4MJM8nMUjV0JU,42,0.765,0.399,202413,0.345,0.00655,10,0.337,-12.114,1,0.0371,127.679,4.0,0.373,5937,510.716,6
Electronic,Kora (CA),Nous,4XoxwvEWHRf1Lh6QZzokh4,32,0.000422,0.81,256000,0.678,0.847,1,0.0963,-9.619,1,0.0478,120.006,4.0,0.526,7071,480.024,10
Hip-Hop,Rich Boy,Throw Some D's,6SmPPtaMnfxgz5duA6t9Cu,57,0.0408,0.698,263920,0.863,0.0,11,0.0758,-5.292,1,0.489,160.894,4.0,0.414,10491,643.576,12
Blues,Delbert McClinton,I've Got Dreams To Remember,0uzzYPCOMwcfIdd6ByX7en,25,0.702,0.438,268667,0.279,4.24e-06,10,0.288,-14.813,1,0.0333,126.942,3.0,0.274,3234,380.82599999999996,3
